,MSA,Year,Period,Value
0,"Anniston-Oxford-Jacksonville, AL",2018,M13,4.6
1,"Anniston-Oxford-Jacksonville, AL",2018,M12,4.2
2,"Anniston-Oxford-Jacksonville, AL",2018,M11,4.0
3,"Anniston-Oxford-Jacksonville, AL",2018,M10,4.3
4,"Anniston-Oxford-Jacksonville, AL",2018,M09,4.4
5,"Anniston-Oxford-Jacksonville, AL",2018,M08,4.8
6,"Anniston-Oxford-Jacksonville, AL",2018,M07,5.0
7,"Anniston-Oxford-Jacksonville, AL",2018,M06,5.4
8,"Anniston-Oxford-Jacksonville, AL",2018,M05,4.1
9,"Anniston-Oxford-Jacksonville, AL",2018,M04,4.2
10,"Anniston-Oxford-Jacksonville, AL",2018,M03,4.7
11,"Anniston-Oxford-Jacksonville, AL",2018,M02,5.0
12,"Anniston-Oxford-Jacksonville, AL",2018,M01,5.0
13,"Anniston-Oxford-Jacksonville, AL",2017,M13,5.1
14,"Anniston-Oxford-Jacksonville, AL",2017,M12,4.2
15,"Anniston-Oxford-Jacksonville, AL",2017,M11,4.2
16,"Anniston-Oxford-Jacksonville, AL",2017,M10,4.3
17,"Anniston-Oxford-Jacksonville, AL",2017,M09,4.5
18,"Anniston-Oxford-Jacksonville, AL",2017,M08,5.0
19,"Anniston-Oxford-Jacksonville, AL",2017,M07,5.2
20,"Anniston-Oxford-Jacksonville, AL",2017,M06,5.5
21,"Anniston-Oxford-Jacksonville, AL",2017,M05,4.6
22,"Anniston-Oxford-Jacksonville, AL",2017,M04,4.8
23,"Anniston-Oxford-Jacksonville, AL",2017,M03,5.5
24,"Anniston-Oxford-Jacksonville, AL",2017,M02,6.2
25,"Anniston-Oxford-Jacksonville, AL",2017,M01,6.7
26,"Anniston-Oxford-Jacksonville, AL",2016,M13,6.6
27,"Anniston-Oxford-Jacksonville, AL",2016,M12,6.0
28,"Anniston-Oxford-Jacksonville, AL",2016,M11,5.9
29,"Anniston-Oxford-Jacksonville, AL",2016,M10,6.4
30,"Anniston-Oxford-Jacksonville, AL",2016,M09,6.5
31,"Anniston-Oxford-Jacksonville, AL",2016,M08,6.6
32,"Anniston-Oxford-Jacksonville, AL",2016,M07,6.7
33,"Anniston-Oxford-Jacksonville, AL",2016,M06,7.1
34,"Anniston-Oxford-Jacksonville, AL",2016,M05,6.1
35,"Anniston-Oxford-Jacksonville, AL",2016,M04,6.1
