msa,unemp_rate,unemp_total,emp_total,lf
"Anniston-Oxford-Jacksonville, AL",LAUMT011150000000003,LAUMT011150000000004,LAUMT011150000000005,LAUMT011150000000006
"Auburn-Opelika, AL",LAUMT011222000000003,LAUMT011222000000004,LAUMT011222000000005,LAUMT011222000000006
"Birmingham-Hoover, AL",LAUMT011382000000003,LAUMT011382000000004,LAUMT011382000000005,LAUMT011382000000006
"Daphne-Fairhope-Foley, AL",LAUMT011930000000003,LAUMT011930000000004,LAUMT011930000000005,LAUMT011930000000006
"Decatur, AL",LAUMT011946000000003,LAUMT011946000000004,LAUMT011946000000005,LAUMT011946000000006
"Dothan, AL",LAUMT012002000000003,LAUMT012002000000004,LAUMT012002000000005,LAUMT012002000000006
"Florence-Muscle Shoals, AL",LAUMT012252000000003,LAUMT012252000000004,LAUMT012252000000005,LAUMT012252000000006
"Gadsden, AL",LAUMT012346000000003,LAUMT012346000000004,LAUMT012346000000005,LAUMT012346000000006
"Huntsville, AL",LAUMT012662000000003,LAUMT012662000000004,LAUMT012662000000005,LAUMT012662000000006
"Mobile, AL",LAUMT013366000000003,LAUMT013366000000004,LAUMT013366000000005,LAUMT013366000000006
"Montgomery, AL",LAUMT013386000000003,LAUMT013386000000004,LAUMT013386000000005,LAUMT013386000000006
"Tuscaloosa, AL",LAUMT014622000000003,LAUMT014622000000004,LAUMT014622000000005,LAUMT014622000000006
"Anchorage, AK",LAUMT021126000000003,LAUMT021126000000004,LAUMT021126000000005,LAUMT021126000000006
"Fairbanks, AK",LAUMT022182000000003,LAUMT022182000000004,LAUMT022182000000005,LAUMT022182000000006
"Flagstaff, AZ",LAUMT042238000000003,LAUMT042238000000004,LAUMT042238000000005,LAUMT042238000000006
"Lake Havasu City-Kingman, AZ",LAUMT042942000000003,LAUMT042942000000004,LAUMT042942000000005,LAUMT042942000000006
"Phoenix-Mesa-Scottsdale, AZ",LAUMT043806000000003,LAUMT043806000000004,LAUMT043806000000005,LAUMT043806000000006
"Prescott, AZ",LAUMT043914000000003,LAUMT043914000000004,LAUMT043914000000005,LAUMT043914000000006
"Sierra Vista-Douglas, AZ",LAUMT044342000000003,LAUMT044342000000004,LAUMT044342000000005,LAUMT044342000000006
"Tucson, AZ",LAUMT044606000000003,LAUMT044606000000004,LAUMT044606000000005,LAUMT044606000000006
"Yuma, AZ",LAUMT044974000000003,LAUMT044974000000004,LAUMT044974000000005,LAUMT044974000000006
"Fayetteville-Springdale-Rogers, AR-MO",LAUMT052222000000003,LAUMT052222000000004,LAUMT052222000000005,LAUMT052222000000006
"Fort Smith, AR-OK",LAUMT052290000000003,LAUMT052290000000004,LAUMT052290000000005,LAUMT052290000000006
"Hot Springs, AR",LAUMT052630000000003,LAUMT052630000000004,LAUMT052630000000005,LAUMT052630000000006
"Jonesboro, AR",LAUMT052786000000003,LAUMT052786000000004,LAUMT052786000000005,LAUMT052786000000006
"Little Rock-North Little Rock-Conway, AR",LAUMT053078000000003,LAUMT053078000000004,LAUMT053078000000005,LAUMT053078000000006
"Pine Bluff, AR",LAUMT053822000000003,LAUMT053822000000004,LAUMT053822000000005,LAUMT053822000000006
"Bakersfield, CA",LAUMT061254000000003,LAUMT061254000000004,LAUMT061254000000005,LAUMT061254000000006
"Chico, CA",LAUMT061702000000003,LAUMT061702000000004,LAUMT061702000000005,LAUMT061702000000006
"El Centro, CA",LAUMT062094000000003,LAUMT062094000000004,LAUMT062094000000005,LAUMT062094000000006
"Fresno, CA",LAUMT062342000000003,LAUMT062342000000004,LAUMT062342000000005,LAUMT062342000000006
"Hanford-Corcoran, CA",LAUMT062526000000003,LAUMT062526000000004,LAUMT062526000000005,LAUMT062526000000006
"Los Angeles-Long Beach-Anaheim, CA",LAUMT063108000000003,LAUMT063108000000004,LAUMT063108000000005,LAUMT063108000000006
"Madera, CA",LAUMT063146000000003,LAUMT063146000000004,LAUMT063146000000005,LAUMT063146000000006
"Merced, CA",LAUMT063290000000003,LAUMT063290000000004,LAUMT063290000000005,LAUMT063290000000006
"Modesto, CA",LAUMT063370000000003,LAUMT063370000000004,LAUMT063370000000005,LAUMT063370000000006
"Napa, CA",LAUMT063490000000003,LAUMT063490000000004,LAUMT063490000000005,LAUMT063490000000006
"Oxnard-Thousand Oaks-Ventura, CA",LAUMT063710000000003,LAUMT063710000000004,LAUMT063710000000005,LAUMT063710000000006
"Redding, CA",LAUMT063982000000003,LAUMT063982000000004,LAUMT063982000000005,LAUMT063982000000006
"Riverside-San Bernardino-Ontario, CA",LAUMT064014000000003,LAUMT064014000000004,LAUMT064014000000005,LAUMT064014000000006
"Sacramento--Roseville--Arden-Arcade, CA",LAUMT064090000000003,LAUMT064090000000004,LAUMT064090000000005,LAUMT064090000000006
"Salinas, CA",LAUMT064150000000003,LAUMT064150000000004,LAUMT064150000000005,LAUMT064150000000006
"San Diego-Carlsbad, CA",LAUMT064174000000003,LAUMT064174000000004,LAUMT064174000000005,LAUMT064174000000006
"San Francisco-Oakland-Hayward, CA",LAUMT064186000000003,LAUMT064186000000004,LAUMT064186000000005,LAUMT064186000000006
"San Jose-Sunnyvale-Santa Clara, CA",LAUMT064194000000003,LAUMT064194000000004,LAUMT064194000000005,LAUMT064194000000006
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",LAUMT064202000000003,LAUMT064202000000004,LAUMT064202000000005,LAUMT064202000000006
"Santa Cruz-Watsonville, CA",LAUMT064210000000003,LAUMT064210000000004,LAUMT064210000000005,LAUMT064210000000006
"Santa Maria-Santa Barbara, CA",LAUMT064220000000003,LAUMT064220000000004,LAUMT064220000000005,LAUMT064220000000006
"Santa Rosa, CA",LAUMT064222000000003,LAUMT064222000000004,LAUMT064222000000005,LAUMT064222000000006
"Stockton-Lodi, CA",LAUMT064470000000003,LAUMT064470000000004,LAUMT064470000000005,LAUMT064470000000006
"Vallejo-Fairfield, CA",LAUMT064670000000003,LAUMT064670000000004,LAUMT064670000000005,LAUMT064670000000006
"Visalia-Porterville, CA",LAUMT064730000000003,LAUMT064730000000004,LAUMT064730000000005,LAUMT064730000000006
"Yuba City, CA",LAUMT064970000000003,LAUMT064970000000004,LAUMT064970000000005,LAUMT064970000000006
"Boulder, CO",LAUMT081450000000003,LAUMT081450000000004,LAUMT081450000000005,LAUMT081450000000006
"Springs, CO",LAUMT081782000000003,LAUMT081782000000004,LAUMT081782000000005,LAUMT081782000000006
"Denver-Aurora-Lakewood, CO",LAUMT081974000000003,LAUMT081974000000004,LAUMT081974000000005,LAUMT081974000000006
"Fort Collins, CO",LAUMT082266000000003,LAUMT082266000000004,LAUMT082266000000005,LAUMT082266000000006
"Grand Junction, CO",LAUMT082430000000003,LAUMT082430000000004,LAUMT082430000000005,LAUMT082430000000006
"Greeley, CO",LAUMT082454000000003,LAUMT082454000000004,LAUMT082454000000005,LAUMT082454000000006
"Pueblo, CO",LAUMT083938000000003,LAUMT083938000000004,LAUMT083938000000005,LAUMT083938000000006
"Bridgeport-Stamford-Norwalk, CT ",LAUMT097195000000003,LAUMT097195000000004,LAUMT097195000000005,LAUMT097195000000006
"Danbury, CT ",LAUMT097285000000003,LAUMT097285000000004,LAUMT097285000000005,LAUMT097285000000006
"Hartford-West Hartford-East Hartford, CT ",LAUMT097345000000003,LAUMT097345000000004,LAUMT097345000000005,LAUMT097345000000006
"New Haven, CT ",LAUMT097570000000003,LAUMT097570000000004,LAUMT097570000000005,LAUMT097570000000006
"Norwich-New London-Westerly, CT-RI ",LAUMT097645000000003,LAUMT097645000000004,LAUMT097645000000005,LAUMT097645000000006
"Waterbury, CT ",LAUMT097870000000003,LAUMT097870000000004,LAUMT097870000000005,LAUMT097870000000006
"Dover, DE",LAUMT102010000000003,LAUMT102010000000004,LAUMT102010000000005,LAUMT102010000000006
"Salisbury, MD-DE",LAUMT104154000000003,LAUMT104154000000004,LAUMT104154000000005,LAUMT104154000000006
"Washington-Arlington-Alexandria, DC-VA-MD-WV",LAUMT114790000000003,LAUMT114790000000004,LAUMT114790000000005,LAUMT114790000000006
"Cape Coral-Fort Myers, FL",LAUMT121598000000003,LAUMT121598000000004,LAUMT121598000000005,LAUMT121598000000006
"Crestview-Fort Walton Beach-Destin, FL",LAUMT121888000000003,LAUMT121888000000004,LAUMT121888000000005,LAUMT121888000000006
"Deltona-Daytona Beach-Ormond Beach, FL",LAUMT121966000000003,LAUMT121966000000004,LAUMT121966000000005,LAUMT121966000000006
"Gainesville, FL",LAUMT122354000000003,LAUMT122354000000004,LAUMT122354000000005,LAUMT122354000000006
"Homosassa Springs, FL",LAUMT122614000000003,LAUMT122614000000004,LAUMT122614000000005,LAUMT122614000000006
"Jacksonville, FL",LAUMT122726000000003,LAUMT122726000000004,LAUMT122726000000005,LAUMT122726000000006
"Lakeland-Winter Haven, FL",LAUMT122946000000003,LAUMT122946000000004,LAUMT122946000000005,LAUMT122946000000006
"Miami-Fort Lauderdale-West Palm Beach, FL",LAUMT123310000000003,LAUMT123310000000004,LAUMT123310000000005,LAUMT123310000000006
"Naples-Immokalee-Marco Island, FL",LAUMT123494000000003,LAUMT123494000000004,LAUMT123494000000005,LAUMT123494000000006
"North Port-Sarasota-Bradenton, FL",LAUMT123584000000003,LAUMT123584000000004,LAUMT123584000000005,LAUMT123584000000006
"Ocala, FL",LAUMT123610000000003,LAUMT123610000000004,LAUMT123610000000005,LAUMT123610000000006
"Orlando-Kissimmee-Sanford, FL",LAUMT123674000000003,LAUMT123674000000004,LAUMT123674000000005,LAUMT123674000000006
"Palm Bay-Melbourne-Titusville, FL",LAUMT123734000000003,LAUMT123734000000004,LAUMT123734000000005,LAUMT123734000000006
"Panama City, FL",LAUMT123746000000003,LAUMT123746000000004,LAUMT123746000000005,LAUMT123746000000006
"Pensacola-Ferry Pass-Brent, FL",LAUMT123786000000003,LAUMT123786000000004,LAUMT123786000000005,LAUMT123786000000006
"Port St. Lucie, FL",LAUMT123894000000003,LAUMT123894000000004,LAUMT123894000000005,LAUMT123894000000006
"Punta Gorda, FL",LAUMT123946000000003,LAUMT123946000000004,LAUMT123946000000005,LAUMT123946000000006
"Sebastian-Vero Beach, FL",LAUMT124268000000003,LAUMT124268000000004,LAUMT124268000000005,LAUMT124268000000006
"Sebring, FL",LAUMT124270000000003,LAUMT124270000000004,LAUMT124270000000005,LAUMT124270000000006
"Tallahassee, FL",LAUMT124522000000003,LAUMT124522000000004,LAUMT124522000000005,LAUMT124522000000006
"Tampa-St. Petersburg-Clearwater, FL",LAUMT124530000000003,LAUMT124530000000004,LAUMT124530000000005,LAUMT124530000000006
"The Villages, FL",LAUMT124554000000003,LAUMT124554000000004,LAUMT124554000000005,LAUMT124554000000006
"Albany, GA",LAUMT131050000000003,LAUMT131050000000004,LAUMT131050000000005,LAUMT131050000000006
"Athens-Clarke County, GA",LAUMT131202000000003,LAUMT131202000000004,LAUMT131202000000005,LAUMT131202000000006
"Atlanta-Sandy Springs-Roswell, GA",LAUMT131206000000003,LAUMT131206000000004,LAUMT131206000000005,LAUMT131206000000006
"Augusta-Richmond County, GA-SC",LAUMT131226000000003,LAUMT131226000000004,LAUMT131226000000005,LAUMT131226000000006
"Brunswick, GA",LAUMT131526000000003,LAUMT131526000000004,LAUMT131526000000005,LAUMT131526000000006
"Columbus, GA-AL",LAUMT131798000000003,LAUMT131798000000004,LAUMT131798000000005,LAUMT131798000000006
"Dalton, GA",LAUMT131914000000003,LAUMT131914000000004,LAUMT131914000000005,LAUMT131914000000006
"Gainesville, GA",LAUMT132358000000003,LAUMT132358000000004,LAUMT132358000000005,LAUMT132358000000006
"Hinesville, GA",LAUMT132598000000003,LAUMT132598000000004,LAUMT132598000000005,LAUMT132598000000006
"Macon-Bibb County, GA",LAUMT133142000000003,LAUMT133142000000004,LAUMT133142000000005,LAUMT133142000000006
"Rome, GA",LAUMT134066000000003,LAUMT134066000000004,LAUMT134066000000005,LAUMT134066000000006
"Savannah, GA",LAUMT134234000000003,LAUMT134234000000004,LAUMT134234000000005,LAUMT134234000000006
"Valdosta, GA",LAUMT134666000000003,LAUMT134666000000004,LAUMT134666000000005,LAUMT134666000000006
