,MSA,Year,Value
0,"Anniston-Oxford-Jacksonville, AL",2018,4.6
13,"Anniston-Oxford-Jacksonville, AL",2017,5.1
26,"Anniston-Oxford-Jacksonville, AL",2016,6.6
39,"Anniston-Oxford-Jacksonville, AL",2015,7.1
52,"Anniston-Oxford-Jacksonville, AL",2014,7.9
65,"Anniston-Oxford-Jacksonville, AL",2013,8.9
78,"Anniston-Oxford-Jacksonville, AL",2012,9.1
91,"Anniston-Oxford-Jacksonville, AL",2011,10.3
104,"Anniston-Oxford-Jacksonville, AL",2010,11.2
117,"Auburn-Opelika, AL",2018,3.6
130,"Auburn-Opelika, AL",2017,4.1
143,"Auburn-Opelika, AL",2016,5.2
156,"Auburn-Opelika, AL",2015,5.3
169,"Auburn-Opelika, AL",2014,5.6
182,"Auburn-Opelika, AL",2013,6.0
195,"Auburn-Opelika, AL",2012,7.0
208,"Auburn-Opelika, AL",2011,8.0
221,"Auburn-Opelika, AL",2010,8.9
234,"Birmingham-Hoover, AL",2018,3.5
247,"Birmingham-Hoover, AL",2017,4.1
260,"Birmingham-Hoover, AL",2016,5.5
273,"Birmingham-Hoover, AL",2015,5.5
286,"Birmingham-Hoover, AL",2014,5.9
299,"Birmingham-Hoover, AL",2013,6.4
312,"Birmingham-Hoover, AL",2012,7.2
325,"Birmingham-Hoover, AL",2011,8.7
338,"Birmingham-Hoover, AL",2010,9.7
351,"Daphne-Fairhope-Foley, AL",2018,3.6
364,"Daphne-Fairhope-Foley, AL",2017,4.2
377,"Daphne-Fairhope-Foley, AL",2016,5.4
390,"Daphne-Fairhope-Foley, AL",2015,5.6
403,"Daphne-Fairhope-Foley, AL",2014,6.1
416,"Daphne-Fairhope-Foley, AL",2013,6.7
429,"Daphne-Fairhope-Foley, AL",2012,7.7
442,"Daphne-Fairhope-Foley, AL",2011,9.0
455,"Daphne-Fairhope-Foley, AL",2010,9.9
468,"Decatur, AL",2018,3.6
481,"Decatur, AL",2017,4.4
494,"Decatur, AL",2016,5.8
507,"Decatur, AL",2015,6.3
520,"Decatur, AL",2014,6.9
533,"Decatur, AL",2013,7.3
546,"Decatur, AL",2012,8.3
559,"Decatur, AL",2011,9.7
572,"Decatur, AL",2010,11.0
585,"Dothan, AL",2018,4.0
598,"Dothan, AL",2017,4.5
611,"Dothan, AL",2016,5.9
624,"Dothan, AL",2015,6.3
637,"Dothan, AL",2014,6.8
650,"Dothan, AL",2013,7.1
663,"Dothan, AL",2012,7.8
676,"Dothan, AL",2011,8.8
689,"Dothan, AL",2010,9.4
702,"Florence-Muscle Shoals, AL",2018,4.3
715,"Florence-Muscle Shoals, AL",2017,5.0
728,"Florence-Muscle Shoals, AL",2016,6.6
741,"Florence-Muscle Shoals, AL",2015,7.3
754,"Florence-Muscle Shoals, AL",2014,7.5
767,"Florence-Muscle Shoals, AL",2013,7.6
780,"Florence-Muscle Shoals, AL",2012,8.3
793,"Florence-Muscle Shoals, AL",2011,9.5
806,"Florence-Muscle Shoals, AL",2010,10.4
819,"Gadsden, AL",2018,4.1
832,"Gadsden, AL",2017,4.7
845,"Gadsden, AL",2016,5.9
858,"Gadsden, AL",2015,6.2
871,"Gadsden, AL",2014,7.0
884,"Gadsden, AL",2013,7.7
897,"Gadsden, AL",2012,8.5
910,"Gadsden, AL",2011,10.0
923,"Gadsden, AL",2010,10.8
936,"Huntsville, AL",2018,3.5
949,"Huntsville, AL",2017,4.0
962,"Huntsville, AL",2016,5.2
975,"Huntsville, AL",2015,5.5
988,"Huntsville, AL",2014,6.1
1001,"Huntsville, AL",2013,6.4
1014,"Huntsville, AL",2012,7.1
1027,"Huntsville, AL",2011,8.3
1040,"Huntsville, AL",2010,8.5
1053,"Mobile, AL",2018,4.6
1066,"Mobile, AL",2017,5.3
1079,"Mobile, AL",2016,6.6
1092,"Mobile, AL",2015,6.9
1105,"Mobile, AL",2014,7.7
1118,"Mobile, AL",2013,8.7
1131,"Mobile, AL",2012,9.4
1144,"Mobile, AL",2011,10.7
1157,"Mobile, AL",2010,11.1
1170,"Montgomery, AL",2018,3.9
1183,"Montgomery, AL",2017,4.3
1196,"Montgomery, AL",2016,5.5
1209,"Montgomery, AL",2015,5.9
1222,"Montgomery, AL",2014,6.6
1235,"Montgomery, AL",2013,7.2
1248,"Montgomery, AL",2012,8.0
1261,"Montgomery, AL",2011,9.4
1274,"Montgomery, AL",2010,9.7
1287,"Tuscaloosa, AL",2018,3.8
1300,"Tuscaloosa, AL",2017,4.4
1313,"Tuscaloosa, AL",2016,5.8
1326,"Tuscaloosa, AL",2015,5.7
1339,"Tuscaloosa, AL",2014,6.2
1352,"Tuscaloosa, AL",2013,7.0
1365,"Tuscaloosa, AL",2012,7.7
1378,"Tuscaloosa, AL",2011,8.8
1391,"Tuscaloosa, AL",2010,9.7
1404,"Anchorage, AK",2018,5.4
1417,"Anchorage, AK",2017,6.0
1430,"Anchorage, AK",2016,5.9
1443,"Anchorage, AK",2015,5.5
1456,"Anchorage, AK",2014,5.7
1469,"Anchorage, AK",2013,5.9
1482,"Anchorage, AK",2012,6.2
1495,"Anchorage, AK",2011,6.8
1508,"Anchorage, AK",2010,7.4
1521,"Fairbanks, AK",2018,5.2
1534,"Fairbanks, AK",2017,5.7
1547,"Fairbanks, AK",2016,5.6
1560,"Fairbanks, AK",2015,5.3
1573,"Fairbanks, AK",2014,5.7
1586,"Fairbanks, AK",2013,5.9
1599,"Fairbanks, AK",2012,6.2
1612,"Fairbanks, AK",2011,6.6
1625,"Fairbanks, AK",2010,6.9
1638,"Flagstaff, AZ",2018,5.5
1651,"Flagstaff, AZ",2017,5.6
1664,"Flagstaff, AZ",2016,6.1
1677,"Flagstaff, AZ",2015,6.5
1690,"Flagstaff, AZ",2014,7.1
1703,"Flagstaff, AZ",2013,8.2
1716,"Flagstaff, AZ",2012,8.6
1729,"Flagstaff, AZ",2011,9.5
1742,"Flagstaff, AZ",2010,9.8
1755,"Lake Havasu City-Kingman, AZ",2018,5.7
1768,"Lake Havasu City-Kingman, AZ",2017,6.0
1781,"Lake Havasu City-Kingman, AZ",2016,6.7
1794,"Lake Havasu City-Kingman, AZ",2015,8.0
1807,"Lake Havasu City-Kingman, AZ",2014,8.7
1820,"Lake Havasu City-Kingman, AZ",2013,10.4
1833,"Lake Havasu City-Kingman, AZ",2012,11.0
1846,"Lake Havasu City-Kingman, AZ",2011,12.2
1859,"Lake Havasu City-Kingman, AZ",2010,12.9
1872,"Phoenix-Mesa-Scottsdale, AZ",2018,4.2
1885,"Phoenix-Mesa-Scottsdale, AZ",2017,4.3
1898,"Phoenix-Mesa-Scottsdale, AZ",2016,4.7
1911,"Phoenix-Mesa-Scottsdale, AZ",2015,5.2
1924,"Phoenix-Mesa-Scottsdale, AZ",2014,5.9
1937,"Phoenix-Mesa-Scottsdale, AZ",2013,6.7
1950,"Phoenix-Mesa-Scottsdale, AZ",2012,7.4
1963,"Phoenix-Mesa-Scottsdale, AZ",2011,8.6
1976,"Phoenix-Mesa-Scottsdale, AZ",2010,9.5
1989,"Prescott, AZ",2018,4.4
2002,"Prescott, AZ",2017,4.6
2015,"Prescott, AZ",2016,5.0
2028,"Prescott, AZ",2015,5.6
2041,"Prescott, AZ",2014,6.4
2054,"Prescott, AZ",2013,7.8
2067,"Prescott, AZ",2012,8.6
2080,"Prescott, AZ",2011,9.8
2093,"Prescott, AZ",2010,10.6
2106,"Sierra Vista-Douglas, AZ",2018,5.6
2119,"Sierra Vista-Douglas, AZ",2017,5.6
2132,"Sierra Vista-Douglas, AZ",2016,6.3
2145,"Sierra Vista-Douglas, AZ",2015,7.3
2158,"Sierra Vista-Douglas, AZ",2014,8.4
2171,"Sierra Vista-Douglas, AZ",2013,9.3
2184,"Sierra Vista-Douglas, AZ",2012,9.0
2197,"Sierra Vista-Douglas, AZ",2011,9.5
2210,"Sierra Vista-Douglas, AZ",2010,9.3
2223,"Tucson, AZ",2018,4.4
2236,"Tucson, AZ",2017,4.6
2249,"Tucson, AZ",2016,5.0
2262,"Tucson, AZ",2015,5.5
2275,"Tucson, AZ",2014,6.0
2288,"Tucson, AZ",2013,6.8
2301,"Tucson, AZ",2012,7.4
2314,"Tucson, AZ",2011,8.4
2327,"Tucson, AZ",2010,9.3
2340,"Yuma, AZ",2018,16.9
2353,"Yuma, AZ",2017,17.2
2366,"Yuma, AZ",2016,19.1
2379,"Yuma, AZ",2015,21.8
2392,"Yuma, AZ",2014,22.9
2405,"Yuma, AZ",2013,25.6
2418,"Yuma, AZ",2012,23.9
2431,"Yuma, AZ",2011,24.1
2444,"Yuma, AZ",2010,25.0
2457,"Fayetteville-Springdale-Rogers, AR-MO",2018,2.7
2470,"Fayetteville-Springdale-Rogers, AR-MO",2017,2.8
2483,"Fayetteville-Springdale-Rogers, AR-MO",2016,2.9
2496,"Fayetteville-Springdale-Rogers, AR-MO",2015,3.7
2509,"Fayetteville-Springdale-Rogers, AR-MO",2014,4.5
2522,"Fayetteville-Springdale-Rogers, AR-MO",2013,5.4
2535,"Fayetteville-Springdale-Rogers, AR-MO",2012,5.6
2548,"Fayetteville-Springdale-Rogers, AR-MO",2011,6.2
2561,"Fayetteville-Springdale-Rogers, AR-MO",2010,6.5
2574,"Fort Smith, AR-OK",2018,3.7
2587,"Fort Smith, AR-OK",2017,4.1
2600,"Fort Smith, AR-OK",2016,4.6
2613,"Fort Smith, AR-OK",2015,5.3
2626,"Fort Smith, AR-OK",2014,5.9
2639,"Fort Smith, AR-OK",2013,7.6
2652,"Fort Smith, AR-OK",2012,7.8
2665,"Fort Smith, AR-OK",2011,8.4
2678,"Fort Smith, AR-OK",2010,8.2
2691,"Hot Springs, AR",2018,4.0
2704,"Hot Springs, AR",2017,4.1
2717,"Hot Springs, AR",2016,4.3
2730,"Hot Springs, AR",2015,5.4
2743,"Hot Springs, AR",2014,6.2
2756,"Hot Springs, AR",2013,7.4
2769,"Hot Springs, AR",2012,7.6
2782,"Hot Springs, AR",2011,8.3
2795,"Hot Springs, AR",2010,8.1
2808,"Jonesboro, AR",2018,3.1
2821,"Jonesboro, AR",2017,3.2
2834,"Jonesboro, AR",2016,3.4
2847,"Jonesboro, AR",2015,4.6
